Time (s),Absorbance Run #5,,,
0,0.416,6.68304E-06,2.14E+01,-11.91593758
0.4,0.413,6.63485E-06,2.18E+01,-11.92317525
0.6,0.412,6.61878E-06,2.20E+01,-11.9255995
0.8,0.41,6.58665E-06,2.22E+01,-11.93046568
1,0.41,6.58665E-06,2.24E+01,-11.93046568
1.2,0.409,6.57059E-06,2.26E+01,-11.93290769
1.4,0.408,6.55452E-06,2.28E+01,-11.93535567
1.6,0.405,6.50633E-06,2.30E+01,-11.94273578
1.8,0.406,6.52239E-06,2.32E+01,-11.94026968
2,0.406,6.52239E-06,2.34E+01,-11.94026968
2.2,0.404,6.49026E-06,2.36E+01,-11.94520797
2.4,0.401,6.44207E-06,2.38E+01,-11.95266142
2.6,0.402,6.45813E-06,2.40E+01,-11.95017076
2.8,0.401,6.44207E-06,2.42E+01,-11.95266142
3,0.399,6.40994E-06,2.44E+01,-11.95766143
3.2,0.399,6.40994E-06,2.46E+01,-11.95766143
3.4,0.396,6.36174E-06,2.48E+01,-11.96520863
3.6,0.396,6.36174E-06,2.50E+01,-11.96520863
3.8,0.395,6.34568E-06,2.52E+01,-11.96773708
4,0.393,6.31355E-06,2.54E+01,-11.97281323
4.2,0.393,6.31355E-06,2.56E+01,-11.97281323
4.4,0.391,6.28142E-06,2.58E+01,-11.97791528
4.6,0.391,6.28142E-06,2.60E+01,-11.97791528
4.8,0.389,6.24929E-06,2.62E+01,-11.9830435
5,0.387,6.21716E-06,2.64E+01,-11.98819815
5.2,0.387,6.21716E-06,2.66E+01,-11.98819815
5.4,0.385,6.18503E-06,2.68E+01,-11.99337951
5.6,0.383,6.1529E-06,2.70E+01,-11.99858786
5.8,0.384,6.16896E-06,2.72E+01,-11.99598029
6,0.383,6.1529E-06,2.74E+01,-11.99858786
6.2,0.382,6.13683E-06,2.76E+01,-12.00120224
6.4,0.38,6.1047E-06,2.78E+01,-12.00645159
6.6,0.378,6.07257E-06,2.80E+01,-12.01172865
6.8,0.377,6.05651E-06,2.82E+01,-12.01437766
7,0.377,6.05651E-06,2.84E+01,-12.01437766
7.2,0.375,6.02438E-06,2.86E+01,-12.01969682
7.4,0.374,6.00831E-06,2.88E+01,-12.02236705
7.6,0.374,6.00831E-06,2.90E+01,-12.02236705
7.8,0.372,5.97618E-06,2.92E+01,-12.02772899
8,0.37,5.94405E-06,2.94E+01,-12.03311984
8.2,0.371,5.96012E-06,2.96E+01,-12.03042078
8.4,0.369,5.92799E-06,2.98E+01,-12.0358262
8.6,0.366,5.87979E-06,3.00E+01,-12.04398951
8.8,0.365,5.86373E-06,3.02E+01,-12.04672549
9,0.365,5.86373E-06,3.04E+01,-12.04672549
9.2,0.364,5.84766E-06,3.06E+01,-12.04946898
9.4,0.362,5.81553E-06,3.08E+01,-12.05497863
9.6,0.362,5.81553E-06,3.10E+01,-12.05497863
9.8,0.359,5.76734E-06,3.12E+01,-12.06330046
10,0.358,5.75127E-06,3.14E+01,-12.06608986
10.2,0.357,5.73521E-06,3.16E+01,-12.06888706
10.4,0.357,5.73521E-06,3.18E+01,-12.06888706
10.6,0.355,5.70308E-06,3.20E+01,-12.07450505
10.8,0.355,5.70308E-06,3.22E+01,-12.07450505
11,0.355,5.70308E-06,3.24E+01,-12.07450505
11.2,0.353,5.67095E-06,3.26E+01,-12.08015479
11.4,0.352,5.65488E-06,3.28E+01,-12.08299167
11.6,0.351,5.63882E-06,3.30E+01,-12.08583662
11.8,0.349,5.60669E-06,3.32E+01,-12.09155092
12,0.348,5.59062E-06,3.34E+01,-12.09442036
12.2,0.347,5.57456E-06,3.36E+01,-12.09729806
12.4,0.346,5.55849E-06,3.38E+01,-12.10018407
12.6,0.345,5.54243E-06,3.40E+01,-12.10307843
12.8,0.345,5.54243E-06,3.42E+01,-12.10307843
13,0.343,5.5103E-06,3.44E+01,-12.1088924
13.2,0.343,5.5103E-06,3.46E+01,-12.1088924
13.4,0.341,5.47817E-06,3.48E+01,-12.11474037
13.6,0.34,5.4621E-06,3.50E+01,-12.11767723
13.8,0.339,5.44604E-06,3.52E+01,-12.12062274
14,0.339,5.44604E-06,3.54E+01,-12.12062274
14.2,0.338,5.42997E-06,3.56E+01,-12.12357695
14.4,0.336,5.39784E-06,3.58E+01,-12.12951168
14.6,0.335,5.38178E-06,3.60E+01,-12.13249231
14.8,0.334,5.36571E-06,3.62E+01,-12.13548185
15,0.334,5.36571E-06,3.64E+01,-12.13548185
15.2,0.333,5.34965E-06,3.66E+01,-12.13848035
15.4,0.332,5.33358E-06,3.68E+01,-12.14148788
15.6,0.331,5.31752E-06,3.70E+01,-12.14450447
15.8,0.328,5.26932E-06,3.72E+01,-12.15360924
16,0.329,5.28539E-06,3.74E+01,-12.15056509
16.2,0.327,5.25326E-06,3.76E+01,-12.15666267
16.4,0.326,5.23719E-06,3.78E+01,-12.15972546
16.6,0.326,5.23719E-06,3.80E+01,-12.15972546
16.8,0.325,5.22113E-06,3.82E+01,-12.16279766
17,0.323,5.189E-06,3.84E+01,-12.16897052
17.2,0.322,5.17293E-06,3.86E+01,-12.1720713
17.4,0.321,5.15687E-06,3.88E+01,-12.17518172
17.6,0.322,5.17293E-06,3.90E+01,-12.1720713
17.8,0.319,5.12474E-06,3.92E+01,-12.18143174
18,0.318,5.10867E-06,3.94E+01,-12.18457146
18.2,0.318,5.10867E-06,3.96E+01,-12.18457146
18.4,0.317,5.09261E-06,3.98E+01,-12.18772107
18.6,0.314,5.04441E-06,4.00E+01,-12.19722986
18.8,0.316,5.07654E-06,4.02E+01,-12.19088063
19,0.314,5.04441E-06,4.04E+01,-12.19722986
19.2,0.313,5.02835E-06,4.06E+01,-12.20041965
19.4,0.312,5.01228E-06,4.08E+01,-12.20361966
19.6,0.312,5.01228E-06,4.10E+01,-12.20361966
19.8,0.311,4.99622E-06,4.12E+01,-12.20682993
20,0.309,4.96409E-06,4.14E+01,-12.21328157
20.2,0.308,4.94802E-06,4.16E+01,-12.21652306
20.4,0.306,4.91589E-06,4.18E+01,-12.22303774
20.6,0.308,4.94802E-06,4.20E+01,-12.21652306
20.8,0.306,4.91589E-06,4.22E+01,-12.22303774
21,0.304,4.88376E-06,4.24E+01,-12.22959514
21.2,0.302,4.85163E-06,4.26E+01,-12.23619583
21.4,0.302,4.85163E-06,4.28E+01,-12.23619583
21.6,0.302,4.85163E-06,4.30E+01,-12.23619583
21.8,0.301,4.83557E-06,4.32E+01,-12.23951258
22,0.299,4.80344E-06,4.34E+01,-12.24617927
22.2,0.299,4.80344E-06,4.36E+01,-12.24617927
22.4,0.298,4.78737E-06,4.38E+01,-12.24952936
22.6,0.296,4.75524E-06,4.40E+01,-12.25626339
22.8,0.296,4.75524E-06,4.42E+01,-12.25626339
23,0.294,4.72311E-06,4.44E+01,-12.26304308
23.2,0.293,4.70705E-06,4.46E+01,-12.26645024
23.4,0.294,4.72311E-06,4.48E+01,-12.26304308
23.6,0.292,4.69098E-06,4.50E+01,-12.26986904
23.8,0.293,4.70705E-06,4.52E+01,-12.26645024
24,0.291,4.67492E-06,4.54E+01,-12.27329958
24.2,0.29,4.65885E-06,4.56E+01,-12.27674192
24.4,0.291,4.67492E-06,4.58E+01,-12.27329958
24.6,0.289,4.64279E-06,4.60E+01,-12.28019616
24.8,0.289,4.64279E-06,4.62E+01,-12.28019616
25,0.288,4.62672E-06,4.64E+01,-12.28366236
25.2,0.286,4.59459E-06,4.66E+01,-12.29063103
25.4,0.286,4.59459E-06,4.68E+01,-12.29063103
25.6,0.286,4.59459E-06,4.70E+01,-12.29063103
25.8,0.284,4.56246E-06,4.72E+01,-12.29764861
26,0.284,4.56246E-06,4.74E+01,-12.29764861
26.2,0.284,4.56246E-06,4.76E+01,-12.29764861
26.4,0.283,4.5464E-06,4.78E+01,-12.30117595
26.6,0.283,4.5464E-06,4.80E+01,-12.30117595
26.8,0.281,4.51427E-06,4.82E+01,-12.30826818
27,0.281,4.51427E-06,4.84E+01,-12.30826818
27.2,0.281,4.51427E-06,4.86E+01,-12.30826818
27.4,0.279,4.48214E-06,4.88E+01,-12.31541106
27.6,0.278,4.46607E-06,4.90E+01,-12.31900173
27.8,0.277,4.45001E-06,4.92E+01,-12.32260534
28,0.276,4.43394E-06,4.94E+01,-12.32622198
28.2,0.274,4.40181E-06,4.96E+01,-12.33349474
28.4,0.273,4.38575E-06,4.98E+01,-12.33715105
28.6,0.272,4.36968E-06,5.00E+01,-12.34082078
28.8,0.27,4.33755E-06,5.02E+01,-12.34820089
29,0.27,4.33755E-06,5.04E+01,-12.34820089
29.2,0.269,4.32149E-06,5.06E+01,-12.35191146
29.4,0.268,4.30542E-06,5.08E+01,-12.35563586
29.6,0.267,4.28936E-06,5.10E+01,-12.35937419
29.8,0.268,4.30542E-06,5.12E+01,-12.35563586
30,0.266,4.27329E-06,5.14E+01,-12.36312654
30.2,0.265,4.25723E-06,5.16E+01,-12.36689302
30.4,0.263,4.2251E-06,5.18E+01,-12.37446881
30.6,0.262,4.20903E-06,5.20E+01,-12.37827834
30.8,0.261,4.19297E-06,5.22E+01,-12.38210244
31,0.262,4.20903E-06,5.24E+01,-12.37827834
31.2,0.262,4.20903E-06,5.26E+01,-12.37827834
31.4,0.262,4.20903E-06,5.28E+01,-12.37827834
31.6,0.261,4.19297E-06,5.30E+01,-12.38210244
31.8,0.258,4.14477E-06,5.32E+01,-12.39366326
32,0.257,4.12871E-06,5.34E+01,-12.39754676
32.2,0.256,4.11264E-06,5.36E+01,-12.4014454
32.4,0.255,4.09658E-06,5.38E+01,-12.4053593
32.6,0.255,4.09658E-06,5.40E+01,-12.4053593
32.8,0.256,4.11264E-06,5.42E+01,-12.4014454
33,0.254,4.08051E-06,5.44E+01,-12.40928858
33.2,0.253,4.06445E-06,5.46E+01,-12.41323336
33.4,0.253,4.06445E-06,5.48E+01,-12.41323336
33.6,0.252,4.04838E-06,5.50E+01,-12.41719376
33.8,0.252,4.04838E-06,5.52E+01,-12.41719376
34,0.251,4.03232E-06,5.54E+01,-12.42116991
34.2,0.249,4.00019E-06,5.56E+01,-12.42916995
34.4,0.248,3.98412E-06,5.58E+01,-12.4331941
34.6,0.248,3.98412E-06,5.60E+01,-12.4331941
34.8,0.247,3.96806E-06,5.62E+01,-12.43723451
35,0.247,3.96806E-06,5.64E+01,-12.43723451
35.2,0.246,3.95199E-06,5.66E+01,-12.44129131
35.4,0.246,3.95199E-06,5.68E+01,-12.44129131
35.6,0.244,3.91986E-06,5.70E+01,-12.44945462
35.8,0.245,3.93593E-06,5.72E+01,-12.44536463
36,0.242,3.88773E-06,5.74E+01,-12.45768512
36.2,0.243,3.9038E-06,5.76E+01,-12.4535614
36.4,0.241,3.87167E-06,5.78E+01,-12.46182591
36.6,0.241,3.87167E-06,5.80E+01,-12.46182591
36.8,0.24,3.8556E-06,5.82E+01,-12.46598392
37,0.241,3.87167E-06,5.84E+01,-12.46182591
37.2,0.24,3.8556E-06,5.86E+01,-12.46598392
37.4,0.238,3.82347E-06,5.88E+01,-12.47435217
37.6,0.24,3.8556E-06,5.90E+01,-12.46598392
37.8,0.235,3.77528E-06,5.92E+01,-12.48703733
38,0.238,3.82347E-06,5.94E+01,-12.47435217
38.2,0.235,3.77528E-06,5.96E+01,-12.48703733
38.4,0.236,3.79134E-06,5.98E+01,-12.48279104
38.6,0.234,3.75921E-06,6.00E+01,-12.49130173
38.8,0.234,3.75921E-06,6.02E+01,-12.49130173
39,0.234,3.75921E-06,6.04E+01,-12.49130173
39.2,0.233,3.74315E-06,6.06E+01,-12.49558439
39.4,0.232,3.72708E-06,6.08E+01,-12.49988547
39.6,0.231,3.71102E-06,6.10E+01,-12.50420513
39.8,0.23,3.69495E-06,6.12E+01,-12.50854354
40,0.229,3.67889E-06,6.14E+01,-12.51290084
40.2,0.23,3.69495E-06,6.16E+01,-12.50854354
40.4,0.228,3.66282E-06,6.18E+01,-12.51727722
40.6,0.228,3.66282E-06,6.20E+01,-12.51727722
40.8,0.228,3.66282E-06,6.22E+01,-12.51727722
41,0.228,3.66282E-06,6.24E+01,-12.51727722
41.2,0.226,3.63069E-06,6.26E+01,-12.52608785
41.4,0.226,3.63069E-06,6.28E+01,-12.52608785
41.6,0.225,3.61463E-06,6.30E+01,-12.53052244
41.8,0.225,3.61463E-06,6.32E+01,-12.53052244
42,0.224,3.59856E-06,6.34E+01,-12.53497679
42.2,0.223,3.5825E-06,6.36E+01,-12.53945107
42.4,0.221,3.55037E-06,6.38E+01,-12.54846014
42.6,0.222,3.56643E-06,6.40E+01,-12.54394546
42.8,0.221,3.55037E-06,6.42E+01,-12.54846014
43,0.221,3.55037E-06,6.44E+01,-12.54846014
43.2,0.22,3.5343E-06,6.46E+01,-12.5529953
43.4,0.22,3.5343E-06,6.48E+01,-12.5529953
43.6,0.218,3.50217E-06,6.50E+01,-12.56212778
43.8,0.217,3.48611E-06,6.52E+01,-12.56672549
44,0.217,3.48611E-06,6.54E+01,-12.56672549
44.2,0.217,3.48611E-06,6.56E+01,-12.56672549
44.4,0.216,3.47004E-06,6.58E+01,-12.57134444
44.6,0.216,3.47004E-06,6.60E+01,-12.57134444
44.8,0.216,3.47004E-06,6.62E+01,-12.57134444
45,0.213,3.42185E-06,6.64E+01,-12.58533068
45.2,0.213,3.42185E-06,6.66E+01,-12.58533068
45.4,0.214,3.43791E-06,6.68E+01,-12.58064683
45.6,0.213,3.42185E-06,6.70E+01,-12.58533068
45.8,0.213,3.42185E-06,6.72E+01,-12.58533068
46,0.212,3.40578E-06,6.74E+01,-12.59003657
46.2,0.212,3.40578E-06,6.76E+01,-12.59003657
46.4,0.209,3.35759E-06,6.78E+01,-12.60428859
46.6,0.21,3.37365E-06,6.80E+01,-12.59951531
46.8,0.21,3.37365E-06,6.82E+01,-12.59951531
47,0.209,3.35759E-06,6.84E+01,-12.60428859
47.2,0.208,3.34152E-06,6.86E+01,-12.60908476
47.4,0.208,3.34152E-06,6.88E+01,-12.60908476
47.6,0.207,3.32546E-06,6.90E+01,-12.61390405
47.8,0.207,3.32546E-06,6.92E+01,-12.61390405
48,0.208,3.34152E-06,6.94E+01,-12.60908476
48.2,0.207,3.32546E-06,6.96E+01,-12.61390405
48.4,0.206,3.30939E-06,6.98E+01,-12.61874668
48.6,0.205,3.29333E-06,7.00E+01,-12.62361287
48.8,0.205,3.29333E-06,7.02E+01,-12.62361287
49,0.204,3.27726E-06,7.04E+01,-12.62850285
49.2,0.202,3.24513E-06,7.06E+01,-12.63835515
49.4,0.202,3.24513E-06,7.08E+01,-12.63835515
49.6,0.2,0.000003213,7.10E+01,-12.64830548
49.8,0.201,3.22907E-06,7.12E+01,-12.64331794
50,0.2,0.000003213,7.14E+01,-12.64830548
50.2,0.199,3.19694E-06,7.16E+01,-12.65331802
50.4,0.199,3.19694E-06,7.18E+01,-12.65331802
50.6,0.199,3.19694E-06,7.20E+01,-12.65331802
50.8,0.199,3.19694E-06,7.22E+01,-12.65331802
51,0.197,3.16481E-06,7.24E+01,-12.66341912
51.2,0.198,3.18087E-06,7.26E+01,-12.65835581
51.4,0.197,3.16481E-06,7.28E+01,-12.66341912
51.6,0.196,3.14874E-06,7.30E+01,-12.66850819
51.8,0.196,3.14874E-06,7.32E+01,-12.66850819
52,0.197,3.16481E-06,7.34E+01,-12.66341912
52.2,0.197,3.16481E-06,7.36E+01,-12.66341912
52.4,0.195,3.13268E-06,7.38E+01,-12.67362329
52.6,0.195,3.13268E-06,7.40E+01,-12.67362329
52.8,0.194,3.11661E-06,7.42E+01,-12.67876469
53,0.192,3.08448E-06,7.44E+01,-12.68912747
53.2,0.192,3.08448E-06,7.46E+01,-12.68912747
53.4,0.191,3.06842E-06,7.48E+01,-12.69434942
53.6,0.191,3.06842E-06,7.50E+01,-12.69434942
53.8,0.191,3.06842E-06,7.52E+01,-12.69434942
54,0.191,3.06842E-06,7.54E+01,-12.69434942
54.2,0.19,3.05235E-06,7.56E+01,-12.69959877
54.4,0.189,3.03629E-06,7.58E+01,-12.70487583
54.6,0.188,3.02022E-06,7.60E+01,-12.71018088
54.8,0.188,3.02022E-06,7.62E+01,-12.71018088
55,0.189,3.03629E-06,7.64E+01,-12.70487583
55.2,0.187,3.00416E-06,7.66E+01,-12.71551423
55.4,0.188,3.02022E-06,7.68E+01,-12.71018088
55.6,0.187,3.00416E-06,7.70E+01,-12.71551423
55.8,0.185,2.97203E-06,7.72E+01,-12.72626702
56,0.185,2.97203E-06,7.74E+01,-12.72626702
56.2,0.185,2.97203E-06,7.76E+01,-12.72626702
56.4,0.184,2.95596E-06,7.78E+01,-12.73168709
56.6,0.184,2.95596E-06,7.80E+01,-12.73168709
56.8,0.184,2.95596E-06,7.82E+01,-12.73168709
57,0.182,2.92383E-06,7.84E+01,-12.74261616
57.2,0.183,2.9399E-06,7.86E+01,-12.73713669
57.4,0.182,2.92383E-06,7.88E+01,-12.74261616
57.6,0.183,2.9399E-06,7.90E+01,-12.73713669
57.8,0.182,2.92383E-06,7.92E+01,-12.74261616
58,0.181,2.90777E-06,7.94E+01,-12.74812581
58.2,0.18,2.8917E-06,7.96E+01,-12.75366599
58.4,0.18,2.8917E-06,7.98E+01,-12.75366599
58.6,0.178,2.85957E-06,8.00E+01,-12.76483929
58.8,0.179,2.87564E-06,8.02E+01,-12.75923704
59,0.179,2.87564E-06,8.04E+01,-12.75923704
59.2,0.178,2.85957E-06,8.06E+01,-12.76483929
59.4,0.178,2.85957E-06,8.08E+01,-12.76483929
59.6,0.176,2.82744E-06,8.10E+01,-12.77613885
59.8,0.176,2.82744E-06,8.12E+01,-12.77613885
60,0.176,2.82744E-06,8.14E+01,-12.77613885
60.2,0.176,2.82744E-06,8.16E+01,-12.77613885
60.4,0.175,2.81138E-06,8.18E+01,-12.78183687
60.6,0.174,2.79531E-06,8.20E+01,-12.78756755
60.8,0.174,2.79531E-06,8.22E+01,-12.78756755
61,0.173,2.77925E-06,8.24E+01,-12.79333125
61.2,0.173,2.77925E-06,8.26E+01,-12.79333125
61.4,0.172,2.76318E-06,8.28E+01,-12.79912837
61.6,0.171,2.74712E-06,8.30E+01,-12.80495929
61.8,0.171,2.74712E-06,8.32E+01,-12.80495929
62,0.172,2.76318E-06,8.34E+01,-12.79912837
62.2,0.171,2.74712E-06,8.36E+01,-12.80495929
62.4,0.17,2.73105E-06,8.38E+01,-12.81082441
62.6,0.171,2.74712E-06,8.40E+01,-12.80495929
62.8,0.171,2.74712E-06,8.42E+01,-12.80495929
63,0.169,2.71499E-06,8.44E+01,-12.81672413
63.2,0.169,2.71499E-06,8.46E+01,-12.81672413
63.4,0.168,2.69892E-06,8.48E+01,-12.82265886
63.6,0.168,2.69892E-06,8.50E+01,-12.82265886
63.8,0.168,2.69892E-06,8.52E+01,-12.82265886
64,0.168,2.69892E-06,8.54E+01,-12.82265886
64.2,0.167,2.68286E-06,8.56E+01,-12.82862903
64.4,0.166,2.66679E-06,8.58E+01,-12.83463506
64.6,0.166,2.66679E-06,8.60E+01,-12.83463506
64.8,0.164,2.63466E-06,8.62E+01,-12.84675642
65,0.165,2.65073E-06,8.64E+01,-12.84067737
65.2,0.165,2.65073E-06,8.66E+01,-12.84067737
65.4,0.164,2.63466E-06,8.68E+01,-12.84675642
65.6,0.163,2.6186E-06,8.70E+01,-12.85287264
65.8,0.163,2.6186E-06,8.72E+01,-12.85287264
66,0.163,2.6186E-06,8.74E+01,-12.85287264
66.2,0.162,2.60253E-06,8.76E+01,-12.85902651
66.4,0.161,2.58647E-06,8.78E+01,-12.86521848
66.6,0.162,2.60253E-06,8.80E+01,-12.85902651
66.8,0.161,2.58647E-06,8.82E+01,-12.86521848
67,0.161,2.58647E-06,8.84E+01,-12.86521848
67.2,0.16,2.5704E-06,8.86E+01,-12.87144903
67.4,0.159,2.55434E-06,8.88E+01,-12.87771864
67.6,0.16,2.5704E-06,8.90E+01,-12.87144903
67.8,0.159,2.55434E-06,8.92E+01,-12.87771864
68,0.158,2.53827E-06,8.94E+01,-12.88402781
68.2,0.157,2.52221E-06,8.96E+01,-12.89037704
68.4,0.156,2.50614E-06,8.98E+01,-12.89676684
68.6,0.158,2.53827E-06,9.00E+01,-12.88402781
68.8,0.156,2.50614E-06,9.02E+01,-12.89676684
69,0.156,2.50614E-06,9.04E+01,-12.89676684
69.2,0.156,2.50614E-06,9.06E+01,-12.89676684
69.4,0.156,2.50614E-06,9.08E+01,-12.89676684
69.6,0.155,2.49008E-06,9.10E+01,-12.90319773
69.8,0.155,2.49008E-06,9.12E+01,-12.90319773
70,0.155,2.49008E-06,9.14E+01,-12.90319773
70.2,0.154,2.47401E-06,9.16E+01,-12.90967024
70.4,0.154,2.47401E-06,9.18E+01,-12.90967024
70.6,0.153,2.45795E-06,9.20E+01,-12.91618492
70.8,0.153,2.45795E-06,9.22E+01,-12.91618492
71,0.153,2.45795E-06,9.24E+01,-12.91618492
71.2,0.153,2.45795E-06,9.26E+01,-12.91618492
71.4,0.152,2.44188E-06,9.28E+01,-12.92274232
71.6,0.151,2.42582E-06,9.30E+01,-12.92934301
71.8,0.152,2.44188E-06,9.32E+01,-12.92274232
72,0.151,2.42582E-06,9.34E+01,-12.92934301
72.2,0.151,2.42582E-06,9.36E+01,-12.92934301
72.4,0.149,2.39369E-06,9.38E+01,-12.94267654
72.6,0.149,2.39369E-06,9.40E+01,-12.94267654
72.8,0.149,2.39369E-06,9.42E+01,-12.94267654
73,0.148,2.37762E-06,9.44E+01,-12.94941057
73.2,0.149,2.39369E-06,9.46E+01,-12.94267654
73.4,0.148,2.37762E-06,9.48E+01,-12.94941057
73.6,0.15,2.40975E-06,9.50E+01,-12.93598755
73.8,0.148,2.37762E-06,9.52E+01,-12.94941057
74,0.147,2.36156E-06,9.54E+01,-12.95619026
74.2,0.148,2.37762E-06,9.56E+01,-12.94941057
74.4,0.148,2.37762E-06,9.58E+01,-12.94941057
74.6,0.147,2.36156E-06,9.60E+01,-12.95619026
74.8,0.148,2.37762E-06,9.62E+01,-12.94941057
75,0.146,2.34549E-06,9.64E+01,-12.96301622
75.2,0.145,2.32943E-06,9.66E+01,-12.9698891
75.4,0.146,2.34549E-06,9.68E+01,-12.96301622
75.6,0.145,2.32943E-06,9.70E+01,-12.9698891
75.8,0.144,2.31336E-06,9.72E+01,-12.97680954
76,0.144,2.31336E-06,9.74E+01,-12.97680954
76.2,0.143,2.2973E-06,9.76E+01,-12.98377821
76.4,0.144,2.31336E-06,9.78E+01,-12.97680954
76.6,0.144,2.31336E-06,9.80E+01,-12.97680954
76.8,0.143,2.2973E-06,9.82E+01,-12.98377821
77,0.142,2.28123E-06,9.84E+01,-12.99079579
77.2,0.143,2.2973E-06,9.86E+01,-12.98377821
77.4,0.143,2.2973E-06,9.88E+01,-12.98377821
77.6,0.142,2.28123E-06,9.90E+01,-12.99079579
77.8,0.141,2.26517E-06,9.92E+01,-12.99786295
78,0.14,2.2491E-06,9.94E+01,-13.00498042
78.2,0.14,2.2491E-06,9.96E+01,-13.00498042
78.4,0.139,2.23304E-06,9.98E+01,-13.01214891
78.6,0.141,2.26517E-06,1.00E+02,-12.99786295
78.8,0.139,2.23304E-06,1.00E+02,-13.01214891
79,0.139,2.23304E-06,1.00E+02,-13.01214891
79.2,0.139,2.23304E-06,1.01E+02,-13.01214891
79.4,0.138,2.21697E-06,1.01E+02,-13.01936916
79.6,0.138,2.21697E-06,1.01E+02,-13.01936916
79.8,0.138,2.21697E-06,1.01E+02,-13.01936916
80,0.138,2.21697E-06,1.01E+02,-13.01936916
80.2,0.137,2.20091E-06,1.02E+02,-13.02664192
80.4,0.137,2.20091E-06,1.02E+02,-13.02664192
80.6,0.138,2.21697E-06,1.02E+02,-13.01936916
80.8,0.137,2.20091E-06,1.02E+02,-13.02664192
81,0.136,2.18484E-06,1.02E+02,-13.03396796
81.2,0.135,2.16878E-06,1.03E+02,-13.04134807
81.4,0.137,2.20091E-06,1.03E+02,-13.02664192
81.6,0.135,2.16878E-06,1.03E+02,-13.04134807
81.8,0.135,2.16878E-06,1.03E+02,-13.04134807
82,0.134,2.15271E-06,1.03E+02,-13.04878304
82.2,0.133,2.13665E-06,1.04E+02,-13.05627372
82.4,0.134,2.15271E-06,1.04E+02,-13.04878304
82.6,0.133,2.13665E-06,1.04E+02,-13.05627372
82.8,0.133,2.13665E-06,1.04E+02,-13.05627372
83,0.133,2.13665E-06,1.04E+02,-13.05627372
83.2,0.133,2.13665E-06,1.05E+02,-13.05627372
83.4,0.133,2.13665E-06,1.05E+02,-13.05627372
83.6,0.132,2.12058E-06,1.05E+02,-13.06382092
83.8,0.131,2.10452E-06,1.05E+02,-13.07142552
84,0.131,2.10452E-06,1.05E+02,-13.07142552
84.2,0.13,2.08845E-06,1.06E+02,-13.07908839
84.4,0.131,2.10452E-06,1.06E+02,-13.07142552
84.6,0.129,2.07239E-06,1.06E+02,-13.08681044
84.8,0.131,2.10452E-06,1.06E+02,-13.07142552
85,0.13,2.08845E-06,1.06E+02,-13.07908839
85.2,0.131,2.10452E-06,1.07E+02,-13.07142552
85.4,0.13,2.08845E-06,1.07E+02,-13.07908839
85.6,0.129,2.07239E-06,1.07E+02,-13.08681044
85.8,0.129,2.07239E-06,1.07E+02,-13.08681044
86,0.129,2.07239E-06,1.07E+02,-13.08681044
86.2,0.128,2.05632E-06,1.08E+02,-13.09459258
86.4,0.128,2.05632E-06,1.08E+02,-13.09459258
86.6,0.127,2.04026E-06,1.08E+02,-13.10243576
86.8,0.127,2.04026E-06,1.08E+02,-13.10243576
87,0.126,2.02419E-06,1.08E+02,-13.11034094
87.2,0.127,2.04026E-06,1.09E+02,-13.10243576
87.4,0.126,2.02419E-06,1.09E+02,-13.11034094
87.6,0.127,2.04026E-06,1.09E+02,-13.10243576
87.8,0.127,2.04026E-06,1.09E+02,-13.10243576
88,0.126,2.02419E-06,1.09E+02,-13.11034094
88.2,0.125,2.00813E-06,1.10E+02,-13.11830911
88.4,0.125,2.00813E-06,1.10E+02,-13.11830911
88.6,0.124,1.99206E-06,1.10E+02,-13.12634128
88.8,0.126,2.02419E-06,1.10E+02,-13.11034094
89,0.124,1.99206E-06,1.10E+02,-13.12634128
89.2,0.124,1.99206E-06,1.11E+02,-13.12634128
89.4,0.123,1.976E-06,1.11E+02,-13.13443849
89.6,0.123,1.976E-06,1.11E+02,-13.13443849
89.8,0.123,1.976E-06,1.11E+02,-13.13443849
90,0.124,1.99206E-06,1.11E+02,-13.12634128
90.2,0.125,2.00813E-06,1.12E+02,-13.11830911
90.4,0.123,1.976E-06,1.12E+02,-13.13443849
90.6,0.123,1.976E-06,1.12E+02,-13.13443849
90.8,0.122,1.95993E-06,1.12E+02,-13.1426018
91,0.121,1.94387E-06,1.12E+02,-13.1508323
91.2,0.122,1.95993E-06,1.13E+02,-13.1426018
91.4,0.122,1.95993E-06,1.13E+02,-13.1426018
91.6,0.12,1.9278E-06,1.13E+02,-13.1591311
91.8,0.121,1.94387E-06,1.13E+02,-13.1508323
92,0.12,1.9278E-06,1.13E+02,-13.1591311
92.2,0.122,1.95993E-06,1.14E+02,-13.1426018
92.4,0.12,1.9278E-06,1.14E+02,-13.1591311
92.6,0.121,1.94387E-06,1.14E+02,-13.1508323
92.8,0.118,1.89567E-06,1.14E+02,-13.17593822
93,0.12,1.9278E-06,1.14E+02,-13.1591311
